v-sweep	v(v1)	v(v2)	v(vout)
1.05	1.05	0.6	1.79845687
1.06	1.06	0.6	1.79845693
1.07	1.07	0.6	1.79845698
1.08	1.08	0.6	1.79845701
1.09	1.09	0.6	1.79845704
1.1	1.1	0.6	1.79845705
1.11	1.11	0.6	1.79845707
1.12	1.12	0.6	1.79845708
1.13	1.13	0.6	1.79845708
1.14	1.14	0.6	1.79845709
1.15	1.15	0.6	1.79845709
1.16	1.16	0.6	1.79845709
1.17	1.17	0.6	1.7984571
1.18	1.18	0.6	1.7984571
1.19	1.19	0.6	1.7984571
1.2	1.2	0.6	1.7984571
1.21	1.21	0.6	1.7984571
1.22	1.22	0.6	1.7984571
1.23	1.23	0.6	1.7984571
1.24	1.24	0.6	1.7984571
1.25	1.25	0.6	1.7984571
1.26	1.26	0.6	1.7984571
1.27	1.27	0.6	1.7984571
1.28	1.28	0.6	1.7984571
1.29	1.29	0.6	1.7984571
1.3	1.3	0.6	1.7984571
1.31	1.31	0.6	1.7984571
1.32	1.32	0.6	1.7984571
1.33	1.33	0.6	1.7984571
1.34	1.34	0.6	1.7984571
1.35	1.35	0.6	1.7984571
1.36	1.36	0.6	1.7984571
1.37	1.37	0.6	1.7984571
1.38	1.38	0.6	1.7984571
1.39	1.39	0.6	1.7984571
1.4	1.4	0.6	1.7984571
1.41	1.41	0.6	1.7984571
1.42	1.42	0.6	1.7984571
1.43	1.43	0.6	1.7984571
1.44	1.44	0.6	1.7984571
1.45	1.45	0.6	1.7984571
1.46	1.46	0.6	1.7984571
1.47	1.47	0.6	1.7984571
1.48	1.48	0.6	1.7984571
1.49	1.49	0.6	1.7984571
1.5	1.5	0.6	1.7984571
1.51	1.51	0.6	1.7984571
1.52	1.52	0.6	1.7984571
1.53	1.53	0.6	1.7984571
1.54	1.54	0.6	1.7984571
1.55	1.55	0.6	1.7984571
1.56	1.56	0.6	1.7984571
1.57	1.57	0.6	1.7984571
1.58	1.58	0.6	1.7984571
1.59	1.59	0.6	1.7984571
1.6	1.6	0.6	1.7984571
1.61	1.61	0.6	1.7984571
1.62	1.62	0.6	1.7984571
1.63	1.63	0.6	1.7984571
1.64	1.64	0.6	1.7984571
1.65	1.65	0.6	1.7984571
1.66	1.66	0.6	1.7984571
1.67	1.67	0.6	1.7984571
1.68	1.68	0.6	1.7984571
1.69	1.69	0.6	1.7984571
1.7	1.7	0.6	1.7984571
1.71	1.71	0.6	1.7984571
1.72	1.72	0.6	1.7984571
1.73	1.73	0.6	1.7984571
1.74	1.74	0.6	1.7984571
1.75	1.75	0.6	1.7984571
1.76	1.76	0.6	1.7984571
1.77	1.77	0.6	1.7984571
1.78	1.78	0.6	1.7984571
1.79	1.79	0.6	1.7984571
1.8	1.8	0.6	1.7984571
0	0	0.9	1.14225449E-06
0.01	0.01	0.9	1.14273546E-06
0.02	0.02	0.9	1.14227421E-06
0.03	0.03	0.9	1.14219365E-06
0.04	0.04	0.9	1.14317695E-06
0.05	0.05	0.9	1.14059275E-06
0.06	0.06	0.9	1.1408335E-06
0.07	0.07	0.9	1.14306682E-06
0.08	0.08	0.9	1.14256425E-06
0.09	0.09	0.9	1.14344333E-06
0.1	0.1	0.9	1.13883365E-06
0.11	0.11	0.9	1.13926999E-06
0.12	0.12	0.9	1.13912781E-06
0.13	0.13	0.9	1.14051389E-06
0.14	0.14	0.9	1.14423406E-06
0.15	0.15	0.9	1.14003914E-06
0.16	0.16	0.9	1.14135737E-06
0.17	0.17	0.9	1.14319523E-06
0.18	0.18	0.9	1.14420789E-06
0.19	0.19	0.9	1.14047297E-06
0.2	0.2	0.9	1.14075111E-06
0.21	0.21	0.9	1.1425159E-06
0.22	0.22	0.9	1.19460882E-06
0.23	0.23	0.9	1.74886047E-06
0.24	0.24	0.9	5.32365768E-06
0.25	0.25	0.9	1.89603972E-05
0.26	0.26	0.9	5.19081023E-05
0.27	0.27	0.9	0.000106259831
0.28	0.28	0.9	0.000174187323
0.29	0.29	0.9	0.000245745382
0.3	0.3	0.9	0.00031359213
0.31	0.31	0.9	0.000376688458
0.32	0.32	0.9	0.000433108
0.33	0.33	0.9	0.000483244214
0.34	0.34	0.9	0.000528074777
0.35	0.35	0.9	0.000568596156
0.36	0.36	0.9	0.000605735945
0.37	0.37	0.9	0.000640281358
0.38	0.38	0.9	0.000672898748
0.39	0.39	0.9	0.000704111
0.4	0.4	0.9	0.00073434726
0.41	0.41	0.9	0.000763942242
0.42	0.42	0.9	0.000793158047
0.43	0.43	0.9	0.000822201409
0.44	0.44	0.9	0.000851236646
0.45	0.45	0.9	0.000880389699
0.46	0.46	0.9	0.000909780588
0.47	0.47	0.9	0.000939481345
0.48	0.48	0.9	0.000969591472
0.49	0.49	0.9	0.00100017821
0.5	0.5	0.9	0.00103131984
0.51	0.51	0.9	0.00106311424
0.52	0.52	0.9	0.00109565207
0.53	0.53	0.9	0.0011290742
0.54	0.54	0.9	0.00116352585
0.55	0.55	0.9	0.0011992216
0.56	0.56	0.9	0.0012364294
0.57	0.57	0.9	0.0012754824
0.58	0.58	0.9	0.00131685808
0.59	0.59	0.9	0.00136114688
0.6	0.6	0.9	0.00140914588
0.61	0.61	0.9	0.00146186595
0.62	0.62	0.9	0.00152065124
0.63	0.63	0.9	0.00158723327
0.64	0.64	0.9	0.00166380272
0.65	0.65	0.9	0.00175319126
0.66	0.66	0.9	0.00185893802
0.67	0.67	0.9	0.00198551695
0.68	0.68	0.9	0.00213844004
0.69	0.69	0.9	0.0023245044
0.7	0.7	0.9	0.00255194286
0.71	0.71	0.9	0.00283069639
0.72	0.72	0.9	0.00317256665
0.73	0.73	0.9	0.00359146728
0.74	0.74	0.9	0.00410372402
0.75	0.75	0.9	0.00472825535
0.76	0.76	0.9	0.00548704048
0.77	0.77	0.9	0.0064055299
0.78	0.78	0.9	0.00751339492
0.79	0.79	0.9	0.00884569027
0.8	0.8	0.9	0.010444614
0.81	0.81	0.9	0.0123624873
0.82	0.82	0.9	0.0146669704
0.83	0.83	0.9	0.0174503834
0.84	0.84	0.9	0.0208477745
0.85	0.85	0.9	0.0250748567
0.86	0.86	0.9	0.0305166425
0.87	0.87	0.9	0.0380604304
0.88	0.88	0.9	0.0498336263
0.89	0.89	0.9	0.0746144346
0.9	0.9	0.9	0.986312934
0.91	0.91	0.9	1.7465231
0.92	0.92	0.9	1.76340916
0.93	0.93	0.9	1.77251632
0.94	0.94	0.9	1.77696063
0.95	0.95	0.9	1.78037466
0.96	0.96	0.9	1.78322673
0.97	0.97	0.9	1.78544725
0.98	0.98	0.9	1.78719215
0.99	0.99	0.9	1.78858302
1	1	0.9	1.7896993
1.01	1.01	0.9	1.79059828
1.02	1.02	0.9	1.7913232
1.03	1.03	0.9	1.79190752
1.04	1.04	0.9	1.7923776
1.05	1.05	0.9	1.79275466
1.06	1.06	0.9	1.79305593
1.07	1.07	0.9	1.79329554
1.08	1.08	0.9	1.79348516
1.09	1.09	0.9	1.79363441
1.1	1.1	0.9	1.79375124
1.11	1.11	0.9	1.7938422
1.12	1.12	0.9	1.79391265
1.13	1.13	0.9	1.79396693
1.14	1.14	0.9	1.79400854
1.15	1.15	0.9	1.7940403
1.16	1.16	0.9	1.79406445
1.17	1.17	0.9	1.79408274
1.18	1.18	0.9	1.79409654
1.19	1.19	0.9	1.79410693
1.2	1.2	0.9	1.79411472
1.21	1.21	0.9	1.79412055
1.22	1.22	0.9	1.7941249
1.23	1.23	0.9	1.79412815
1.24	1.24	0.9	1.79413057
1.25	1.25	0.9	1.79413237
1.26	1.26	0.9	1.7941337
1.27	1.27	0.9	1.79413469
1.28	1.28	0.9	1.79413542
1.29	1.29	0.9	1.79413597
1.3	1.3	0.9	1.79413637
1.31	1.31	0.9	1.79413666
1.32	1.32	0.9	1.79413688
1.33	1.33	0.9	1.79413704
1.34	1.34	0.9	1.79413716
1.35	1.35	0.9	1.79413725
1.36	1.36	0.9	1.79413732
1.37	1.37	0.9	1.79413737
1.38	1.38	0.9	1.7941374
1.39	1.39	0.9	1.79413743
1.4	1.4	0.9	1.79413744
1.41	1.41	0.9	1.79413746
1.42	1.42	0.9	1.79413747
1.43	1.43	0.9	1.79413748
1.44	1.44	0.9	1.79413748
1.45	1.45	0.9	1.79413749
1.46	1.46	0.9	1.79413749
1.47	1.47	0.9	1.79413749
1.48	1.48	0.9	1.7941375
1.49	1.49	0.9	1.7941375
1.5	1.5	0.9	1.7941375
1.51	1.51	0.9	1.7941375
1.52	1.52	0.9	1.7941375
1.53	1.53	0.9	1.7941375
1.54	1.54	0.9	1.79413749
1.55	1.55	0.9	1.7941375
1.56	1.56	0.9	1.7941375
1.57	1.57	0.9	1.7941375
1.58	1.58	0.9	1.7941375
1.59	1.59	0.9	1.79413749
1.6	1.6	0.9	1.7941375
1.61	1.61	0.9	1.79413749
1.62	1.62	0.9	1.79413749
1.63	1.63	0.9	1.7941375
1.64	1.64	0.9	1.7941375
1.65	1.65	0.9	1.79413749
1.66	1.66	0.9	1.79413749
1.67	1.67	0.9	1.79413749
1.68	1.68	0.9	1.79413749
1.69	1.69	0.9	1.79413749
1.7	1.7	0.9	1.79413749
1.71	1.71	0.9	1.79413749
1.72	1.72	0.9	1.79413749
1.73	1.73	0.9	1.79413749
1.74	1.74	0.9	1.79413749
1.75	1.75	0.9	1.79413749
1.76	1.76	0.9	1.79413749
1.77	1.77	0.9	1.79413749
1.78	1.78	0.9	1.79413749
1.79	1.79	0.9	1.79413749
1.8	1.8	0.9	1.79413749
0	0	1.2	1.14483551E-06
0.01	0.01	1.2	1.14152228E-06
0.02	0.02	1.2	1.14409302E-06
0.03	0.03	1.2	1.14198116E-06
0.04	0.04	1.2	1.14172955E-06
0.05	0.05	1.2	1.14361313E-06
0.06	0.06	1.2	1.14348407E-06
0.07	0.07	1.2	1.14376853E-06
0.08	0.08	1.2	1.14466766E-06
0.09	0.09	1.2	1.14238606E-06
0.1	0.1	1.2	1.14133247E-06
0.11	0.11	1.2	1.141913E-06
0.12	0.12	1.2	1.1444342E-06
0.13	0.13	1.2	1.14377915E-06
0.14	0.14	1.2	1.14394924E-06
0.15	0.15	1.2	1.14529564E-06
0.16	0.16	1.2	1.14406635E-06
0.17	0.17	1.2	1.14460406E-06
0.18	0.18	1.2	1.14376169E-06
0.19	0.19	1.2	1.1445667E-06
0.2	0.2	1.2	1.14481077E-06
0.21	0.21	1.2	1.14284624E-06
0.22	0.22	1.2	1.19442736E-06
0.23	0.23	1.2	1.75279289E-06
0.24	0.24	1.2	5.32555336E-06
0.25	0.25	1.2	1.89600093E-05
0.26	0.26	1.2	5.191113E-05
0.27	0.27	1.2	0.00010626229
0.28	0.28	1.2	0.000174188269
0.29	0.29	1.2	0.000245743848
0.3	0.3	1.2	0.000313593901
0.31	0.31	1.2	0.000376686554
0.32	0.32	1.2	0.000433103596
0.33	0.33	1.2	0.000483235082
0.34	0.34	1.2	0.000528065103
0.35	0.35	1.2	0.00056858361
0.36	0.36	1.2	0.000605714274
0.37	0.37	1.2	0.00064025547
0.38	0.38	1.2	0.00067285367
0.39	0.39	1.2	0.000704050824
0.4	0.4	1.2	0.00073426843
0.41	0.41	1.2	0.00076382863
0.42	0.42	1.2	0.000793001347
0.43	0.43	1.2	0.000821988349
0.44	0.44	1.2	0.000850941769
0.45	0.45	1.2	0.000879982422
0.46	0.46	1.2	0.000909210096
0.47	0.47	1.2	0.000938709682
0.48	0.48	1.2	0.000968523153
0.49	0.49	1.2	0.000998706702
0.5	0.5	1.2	0.00102930433
0.51	0.51	1.2	0.00106034302
0.52	0.52	1.2	0.0010918611
0.53	0.53	1.2	0.00112388093
0.54	0.54	1.2	0.00115642607
0.55	0.55	1.2	0.00118953095
0.56	0.56	1.2	0.00122321421
0.57	0.57	1.2	0.00125751018
0.58	0.58	1.2	0.00129243306
0.59	0.59	1.2	0.00132802152
0.6	0.6	1.2	0.00136431715
0.61	0.61	1.2	0.00140135045
0.62	0.62	1.2	0.00143916684
0.63	0.63	1.2	0.00147781838
0.64	0.64	1.2	0.00151735618
0.65	0.65	1.2	0.00155785559
0.66	0.66	1.2	0.00159938585
0.67	0.67	1.2	0.00164203868
0.68	0.68	1.2	0.00168592446
0.69	0.69	1.2	0.00173116707
0.7	0.7	1.2	0.00177791166
0.71	0.71	1.2	0.00182636277
0.72	0.72	1.2	0.00187672749
0.73	0.73	1.2	0.00192930171
0.74	0.74	1.2	0.00198442265
0.75	0.75	1.2	0.0020425507
0.76	0.76	1.2	0.00210424751
0.77	0.77	1.2	0.00217027414
0.78	0.78	1.2	0.002241571
0.79	0.79	1.2	0.00231947346
0.8	0.8	1.2	0.00240572979
0.81	0.81	1.2	0.00250276073
0.82	0.82	1.2	0.00261395865
0.83	0.83	1.2	0.0027441063
0.84	0.84	1.2	0.00290010507
0.85	0.85	1.2	0.00309191072
0.86	0.86	1.2	0.0033339904
0.87	0.87	1.2	0.00364714192
0.88	0.88	1.2	0.00406049186
0.89	0.89	1.2	0.00461255568
0.9	0.9	1.2	0.0053498362
0.91	0.91	1.2	0.00632104668
0.92	0.92	1.2	0.00756784826
0.93	0.93	1.2	0.00911632515
0.94	0.94	1.2	0.0109740606
0.95	0.95	1.2	0.0131335921
0.96	0.96	1.2	0.0155792415
0.97	0.97	1.2	0.0182937657
0.98	0.98	1.2	0.0212633825
0.99	0.99	1.2	0.0244811013
1	1	1.2	0.0279490192
1.01	1.01	1.2	0.0316801883
1.02	1.02	1.2	0.0357002823
1.03	1.03	1.2	0.0400492016
1.04	1.04	1.2	0.0447824107
1.05	1.05	1.2	0.0499712197
1.06	1.06	1.2	0.0557008108
1.07	1.07	1.2	0.062064304
1.08	1.08	1.2	0.0691516445
1.09	1.09	1.2	0.0770345512
1.1	1.1	1.2	0.0857575611
1.11	1.11	1.2	0.0953495428
1.12	1.12	1.2	0.105879465
1.13	1.13	1.2	0.117591581
1.14	1.14	1.2	0.131255763
1.15	1.15	1.2	0.149973255
1.16	1.16	1.2	0.18953684
1.17	1.17	1.2	0.32787119
1.18	1.18	1.2	0.550994762
1.19	1.19	1.2	0.768571814
1.2	1.2	1.2	0.952222882
1.21	1.21	1.2	1.09937184
1.22	1.22	1.2	1.21324499
1.23	1.23	1.2	1.29923989
1.24	1.24	1.2	1.36295663
1.25	1.25	1.2	1.4094823
1.26	1.26	1.2	1.44306618
1.27	1.27	1.2	1.46707891
1.28	1.28	1.2	1.4841815
1.29	1.29	1.2	1.49634513
1.3	1.3	1.2	1.50501385
1.31	1.31	1.2	1.51123059
1.32	1.32	1.2	1.51570877
1.33	1.33	1.2	1.518952
1.34	1.34	1.2	1.52131174
1.35	1.35	1.2	1.52304434
1.36	1.36	1.2	1.52430438
1.37	1.37	1.2	1.52523364
1.38	1.38	1.2	1.52591764
1.39	1.39	1.2	1.52642189
1.4	1.4	1.2	1.52679362
1.41	1.41	1.2	1.52705609
1.42	1.42	1.2	1.52726151
1.43	1.43	1.2	1.52740499
1.44	1.44	1.2	1.52752049
1.45	1.45	1.2	1.52759333
1.46	1.46	1.2	1.52765897
1.47	1.47	1.2	1.52769711
1.48	1.48	1.2	1.52773403
1.49	1.49	1.2	1.52774974
1.5	1.5	1.2	1.52776453
1.51	1.51	1.2	1.52778251
1.52	1.52	1.2	1.52778528
1.53	1.53	1.2	1.52779302
1.54	1.54	1.2	1.52779738
1.55	1.55	1.2	1.527798
1.56	1.56	1.2	1.52780124
1.57	1.57	1.2	1.52780214
1.58	1.58	1.2	1.52778706
1.59	1.59	1.2	1.52778711
1.6	1.6	1.2	1.5277943
1.61	1.61	1.2	1.52778961
1.62	1.62	1.2	1.52778621
1.63	1.63	1.2	1.52778138
1.64	1.64	1.2	1.52777753
1.65	1.65	1.2	1.52777067
1.66	1.66	1.2	1.52776462
1.67	1.67	1.2	1.52776093
1.68	1.68	1.2	1.5277531
1.69	1.69	1.2	1.52774981
1.7	1.7	1.2	1.52774677
1.71	1.71	1.2	1.52773578
1.72	1.72	1.2	1.52773274
1.73	1.73	1.2	1.5277248
1.74	1.74	1.2	1.52770974
1.75	1.75	1.2	1.52771551
1.76	1.76	1.2	1.52769997
1.77	1.77	1.2	1.52769391
1.78	1.78	1.2	1.52768879
1.79	1.79	1.2	1.52767608
1.8	1.8	1.2	1.52766068
